Семейство,Ген
BRPF3,CAI9717822.1
BRPF3,CAI9719327.1
BRPF3,CAI9719328.1
BRPF3,CAI9719329.1
BRPF3,CAI9719330.1
BRPF3,CAI9719331.1
BRPF3,CAI9719332.1
BRPF3,CAI9719333.1
BRPF3,CAI9719334.1
BRPF3,CAI9719335.1
BRPF3,CAI9719336.1
BRPF3,CAI9719337.1
BRPF3,CAI9719338.1
BRPF3,CAI9719339.1
BRPF3,CAI9719340.1
BRPF3,CAI9719341.1
BRPF3,CAI9719342.1
BRPF3,CAI9720824.1
BRPF3,CAI9720825.1
BRPF3,CAI9720827.1
BRPF3,CAI9720828.1
BRPF3,CAI9720918.1
BRPF3,CAI9720919.1
BRPF3,CAI9720920.1
BRPF3,CAI9721069.1
BRPF3,CAI9721219.1
BRPF3,CAI9721220.1
BRPF3,CAI9721221.1
BRPF3,CAI9721222.1
BRPF3,CAI9724164.1
BRPF3,CAI9724240.1
BRPF3,CAI9727372.1
BRPF3,CAI9728148.1
BRPF3,CAI9728149.1
BRPF3,CAI9728298.1
BRPF3,CAI9728471.1
BRPF3,CAI9728472.1
BRPF3,CAI9728473.1
BRPF3,CAI9730508.1
BRPF3,CAI9731477.1
BRPF3,CAI9731478.1
BRPF3,CAI9731479.1
BRPF3,CAI9731480.1
BRPF3,CAI9731481.1
BRPF3,CAI9731859.1
BRPF3,CAI9732150.1
BRPF3,CAI9732151.1
BRPF3,CAI9732152.1
BRPF3,CAI9732153.1
BRPF3,CAI9732859.1
BRPF3,CAI9733893.1
BRPF3,CAI9734048.1
BRPF3,CAI9734049.1
BRPF3,CAI9734050.1
BRPF3,CAI9734276.1
BRPF3,CAI9734277.1
BRPF3,CAI9734653.1
BRPF3,CAI9734806.1
BRPF3,CAI9735176.1
BRPF3,CAI9735197.1
BRPF3,CAI9735668.1
BRPF3,CAI9736128.1
BRPF3,CAI9736476.1
BRPF3,CAI9736477.1
BRPF3,CAI9736478.1
BRPF3,CAI9736938.1
BRPF3,CAI9736939.1
BRPF3,CAI9737782.1
BRPF3,CAI9738520.1
BRPF3,CAI9738724.1
BRPF3,CAI9740683.1
BRPF3,CAI9740954.1
BRPF3,CAI9740955.1
BRPF3,CAI9741206.1
BRPF3,CAI9744273.1
BRPF3,CAI9744274.1
BRPF3,CAI9744414.1
C11orf30,CAI9736938.1
C11orf30,CAI9736939.1
CDC73,CAI9716167.1
CDC73,CAI9716168.1
CLNS1A,CAI9716797.1
CTBP2,CAI9715454.1
CTBP2,CAI9715455.1
CTBP2,CAI9720356.1
CTBP2,CAI9728276.1
CTBP2,CAI9728277.1
CTBP2,CAI9728365.1
CTBP2,CAI9729402.1
CTBP2,CAI9729403.1
CTBP2,CAI9730924.1
CTBP2,CAI9731416.1
CTBP2,CAI9732922.1
CTBP2,CAI9732923.1
CTBP2,CAI9732924.1
CTBP2,CAI9732925.1
CTBP2,CAI9732926.1
CTBP2,CAI9732927.1
CTBP2,CAI9732928.1
CTBP2,CAI9732929.1
CTBP2,CAI9732930.1
CTBP2,CAI9732931.1
CTBP2,CAI9732932.1
CTBP2,CAI9737386.1
CTBP2,CAI9737387.1
CTBP2,CAI9737388.1
CTBP2,CAI9737389.1
CTBP2,CAI9737674.1
CTBP2,CAI9737675.1
CTBP2,CAI9737676.1
